Altium Designer Pick and Place Locations
C:\Users\roger\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for Coaxial 63100.csv

========================================================================================================================
File Design Information:

Date:       04-09-26
Time:       07:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"R84","Vishay CRCW06036K80FKEAC","TopLayer","Vishay_CRCW06036K80FKEAC-Footprint-1","78.3844","54.5846","0"
"R82","KOA Speer RK73B1JTTD4R7J","TopLayer","KOA_Speer_RK73B1JTTD4R7J-Footprint-1","122.8852","45.2120","270"
"R35","KOA Speer RK73B1JTTD4R7J","TopLayer","KOA_Speer_RK73B1JTTD4R7J-Footprint-1","110.7694","44.5008","90"
"C124","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","122.8852","47.4218","270"
"C123","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","110.7694","46.6852","90"
"C118","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","80.1878","64.4398","0"
"C117","Murata GCM1885C2A681JA16D","TopLayer","Murata_GCM1885C2A681JA16D-Footprint-1","80.7974","81.2546","0"
"R34","Panasonic ERJ-PA3J152V","TopLayer","Panasonic_ERJ-PA3J152V-Footprint-1","99.1870","65.7352","180"
"R22","Vishay CRCW06033K30FKEA","TopLayer","Vishay_CRCW06033K30FKEA-Footprint-1","126.9746","76.7080","270"
"C122W","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","121.9962","43.2308","90"
"C122V","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","108.6866","42.4180","90"
"C122U","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","95.3262","46.3804","90"
"C108W","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","113.0300","43.1800","90"
"C108V","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","99.7204","42.3672","90"
"C108U","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","86.4616","46.3296","90"
"R33U","Yageo Group RT0603BRB0727RL","TopLayer","Yageo_Group_RT0603BRB0727RL-Footprint-1","93.8276","43.4850","90"
"R33V","Yageo Group RT0603BRB0727RL","TopLayer","Yageo_Group_RT0603BRB0727RL-Footprint-1","107.0090","39.5690","90"
"R33W","Yageo Group RT0603BRB0727RL","TopLayer","Yageo_Group_RT0603BRB0727RL-Footprint-1","120.3198","40.3606","90"
"R76U","Yageo Group RT0603BRB0727RL","TopLayer","Yageo_Group_RT0603BRB0727RL-Footprint-1","87.9856","43.4850","90"
"R76V","Yageo Group RT0603BRB0727RL","TopLayer","Yageo_Group_RT0603BRB0727RL-Footprint-1","101.3120","39.5690","90"
"R76W","Yageo Group RT0603BRB0727RL","TopLayer","Yageo_Group_RT0603BRB0727RL-Footprint-1","114.6296","40.3606","90"
"RW9","YAGEO RC0603FR-07100KL","TopLayer","YAGEO_RC0603FR-07100KL-Footprint-1","133.4771","111.7091","270"
"RV9","YAGEO RC0603FR-07100KL","TopLayer","YAGEO_RC0603FR-07100KL-Footprint-1","107.3151","110.3883","270"
"RU9","YAGEO RC0603FR-07100KL","TopLayer","YAGEO_RC0603FR-07100KL-Footprint-1","79.4767","111.6837","270"
"R124","Panasonic ERJ-PA3F1502V","TopLayer","Panasonic_ERJ-PA3F1502V-Footprint-1","99.1362","67.0052","180"
"R111","Panasonic ERJPA3F1002V","TopLayer","Panasonic_ERJPA3F1002V-Footprint-1","99.9998","56.8452","90"
"D17","Diodes Inc. SBR1U40LP-7","TopLayer","Diodes_Inc._SBR1U40LP-7-Footprint-1","101.0421","62.9920","0"
"R123","Vishay Dale CRCW06033M01FKEA","TopLayer","Vishay_Dale_CRCW06033M01FKEA-Footprint-1","127.6602","42.8498","90"
"R122","Vishay Dale CRCW060318K0FKEA","TopLayer","Vishay_Dale_CRCW060318K0FKEA-Footprint-1","133.5024","43.5610","90"
"R121","Yageo Group AC0603FR-074R99L","TopLayer","Yageo_Group_AC0603FR-074R99L-Footprint-1","131.6482","75.5396","270"
"R120","Yageo Group AC0603FR-074R99L","TopLayer","Yageo_Group_AC0603FR-074R99L-Footprint-1","131.2164","78.5876","0"
"C121","Samsung Electro-Mechanics CL10B104KC8NNNC","TopLayer","Samsung_Electro-Mechanics_CL10B104KC8NNNC-Footprint-1","131.2164","77.3176","0"
"C120","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","75.2000","60.0456","180"
"Q3","Infineon IAUCN10S7N021ATMA1","TopLayer","Infineon_IAUCN10S7N021ATMA1-Footprint-1","120.4214","69.2150","180"
"Q4","Infineon IAUCN10S7N021ATMA1","TopLayer","Infineon_IAUCN10S7N021ATMA1-Footprint-1","121.6914","75.9460","0"
"R119","Panasonic ERA-3AEB473V","TopLayer","Panasonic_ERA-3AEB473V-Footprint-1","110.9980","81.0514","180"
"R113","Panasonic EXB-18V103JX","TopLayer","Panasonic_EXB-18V103JX-Footprint-1","74.1680","57.6568","90"
"C119","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","75.6158","58.0898","180"
"R105","KOA Speer RK73B1JTTD4R7J","TopLayer","KOA_Speer_RK73B1JTTD4R7J-Footprint-1","124.7648","37.8714","90"
"R104","KOA Speer RK73B1JTTD4R7J","TopLayer","KOA_Speer_RK73B1JTTD4R7J-Footprint-1","81.8134","74.8538","270"
"R103","KOA Speer RK73B1JTTD4R7J","TopLayer","KOA_Speer_RK73B1JTTD4R7J-Footprint-1","124.0282","34.7218","90"
"C116","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","99.6257","77.1866","180"
"C115","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","124.7648","39.8780","90"
"C110","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","80.5434","72.1614","180"
"C109","Kemet C0603C153J3GACTU","TopLayer","Kemet_C0603C153J3GACTU-Footprint-1","124.0282","32.6390","90"
"R118","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","92.2262","56.5912","180"
"R117","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","90.0176","56.5912","180"
"R116","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","89.0790","74.1426","180"
"R68","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","80.6450","59.9440","270"
"R67","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","93.2192","74.6760","180"
"R66","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","98.1456","59.1022","270"
"R65","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","80.6958","70.2818","90"
"R115","Vishay CRCW0603120RFKEAHP","TopLayer","Vishay_CRCW0603120RFKEAHP-Footprint-1","80.2894","44.7292","180"
"R114","Vishay CRCW0603120RFKEAHP","TopLayer","Vishay_CRCW0603120RFKEAHP-Footprint-1","136.8044","47.4474","0"
"R112","Panasonic EXB-18V121JX","TopLayer","Panasonic_EXB-18V121JX-Footprint-1","103.3800","63.3948","90"
"R70","Vishay CRCW0603120RFKEAHP","TopLayer","Vishay_CRCW0603120RFKEAHP-Footprint-1","110.9980","67.3860","180"
"C97","Yageo Group CC0603CRNPO9BN5R6","TopLayer","Yageo_Group_CC0603CRNPO9BN5R6-Footprint-1","78.4352","64.3890","90"
"C95","Yageo Group CC0603CRNPO9BN5R6","TopLayer","Yageo_Group_CC0603CRNPO9BN5R6-Footprint-1","78.4352","66.4464","270"
"U10","Texas Instruments LM66100DCKT","TopLayer","Texas_Instruments_LM66100DCKT-Footprint-1","74.6029","70.7136","180"
"RTS7","Littelfuse FEMTOSMDC008F-2","TopLayer","Littelfuse_FEMTOSMDC008F-2-Footprint-1","73.2028","55.2958","180"
"RTS6","Littelfuse FEMTOSMDC008F-2","TopLayer","Littelfuse_FEMTOSMDC008F-2-Footprint-1","70.7136","55.2958","0"
"RTS5","Littelfuse 1210L075/24PR","TopLayer","Littelfuse_1210L075_24PR-Footprint-1","101.7269","60.5029","90"
"R110","Panasonic ERJ-PA3F1502V","TopLayer","Panasonic_ERJ-PA3F1502V-Footprint-1","75.8190","68.7832","180"
"C114","Murata GCM1885C2A681JA16D","TopLayer","Murata_GCM1885C2A681JA16D-Footprint-1","63.0682","82.5246","90"
"C113","Murata GCM1885C2A681JA16D","TopLayer","Murata_GCM1885C2A681JA16D-Footprint-1","64.4652","69.0372","270"
"C112","Samsung Electro-Mechanics CL10B104KC8NNNC","TopLayer","Samsung_Electro-Mechanics_CL10B104KC8NNNC-Footprint-1","68.7578","74.2696","180"
"C111","Samsung Electro-Mechanics CL10B104KC8NNNC","TopLayer","Samsung_Electro-Mechanics_CL10B104KC8NNNC-Footprint-1","70.1294","60.7568","180"
"R108","YAGEO RC0603JR-075K1L","TopLayer","YAGEO_RC0603JR-075K1L-Footprint-1","101.2190","56.8452","270"
"R109","YAGEO RC0603JR-075K1L","TopLayer","YAGEO_RC0603JR-075K1L-Footprint-1","99.2632","52.5272","90"
"R15V","Resion PTFR0805Q49K9N9","TopLayer","Resion_PTFR0805Q49K9N9-Footprint-1","103.2780","32.2424","90"
"R107","Panasonic ERJ-6DSFR10V","TopLayer","Panasonic_ERJ-6DSFR10V-Footprint-1","146.4056","91.5416","0"
"R106","Panasonic ERJ-6DSFR10V","TopLayer","Panasonic_ERJ-6DSFR10V-Footprint-1","90.6018","93.1672","0"
"R71","Panasonic ERJ-6DSFR10V","TopLayer","Panasonic_ERJ-6DSFR10V-Footprint-1","118.1354","92.6084","0"
"C84","Murata GRM32EC72A106KE05L","TopLayer","Murata_GRM32EC72A106KE05L-Footprint-1","94.0307","93.7513","180"
"C74","Murata GRM32EC72A106KE05L","TopLayer","Murata_GRM32EC72A106KE05L-Footprint-1","121.2595","92.6337","180"
"C51","Murata GRM32EC72A106KE05L","TopLayer","Murata_GRM32EC72A106KE05L-Footprint-1","149.6567","90.3985","180"
"R63","Panasonic ERJ-6DSFR10V","TopLayer","Panasonic_ERJ-6DSFR10V-Footprint-1","146.4564","94.1070","0"
"C29","Murata GRM32EC72A106KE05L","TopLayer","Murata_GRM32EC72A106KE05L-Footprint-1","146.5835","97.8915","270"
"C28","Murata GRM32EC72A106KE05L","TopLayer","Murata_GRM32EC72A106KE05L-Footprint-1","143.5355","97.8915","270"
"C21W","Murata GCJ188R72A104KA01D","TopLayer","Murata_GCJ188R72A104KA01D-Footprint-1","136.4742","89.0778","180"
"C21V","Murata GCJ188R72A104KA01D","TopLayer","Murata_GCJ188R72A104KA01D-Footprint-1","108.5088","90.4748","180"
"C21U","Murata GCJ188R72A104KA01D","TopLayer","Murata_GCJ188R72A104KA01D-Footprint-1","79.6798","87.9602","180"
"C50W","TDK CGA3E3X7S1A225K080AE","TopLayer","TDK_CGA3E3X7S1A225K080AE-Footprint-1","121.5136","37.5158","180"
